District_Id,State_code,Suburb,Address,Lattitude,Longitude
177,NSW,Sydney,"New South Wales, Sydney, Postcode-1041",-33.794883,151.268071
178,NSW,Sydney,"New South Wales, Sydney, Postcode-1042",-33.794883,151.268071
179,NSW,Sydney,"New South Wales, Sydney, Postcode-1043",-33.794883,151.268071
180,NSW,Sydney,"New South Wales, Sydney, Postcode-1044",-33.794883,151.268071
181,NSW,Sydney,"New South Wales, Sydney, Postcode-1045",-33.794883,151.268071
182,NSW,Sydney,"New South Wales, Sydney, Postcode-1046",-33.794883,151.268071
183,NSW,Sydney,"New South Wales, Sydney, Postcode-1100",-33.794883,151.268071
184,NSW,Sydney,"New South Wales, Sydney, Postcode-1101",-33.794883,151.268071
185,NSW,Sydney,"New South Wales, Sydney, Postcode-1105",-33.794883,151.268071
186,NSW,Sydney,"New South Wales, Sydney, Postcode-1106",-33.794883,151.268071
187,NSW,Sydney,"New South Wales, Sydney, Postcode-1107",-33.794883,151.268071
188,NSW,Sydney,"New South Wales, Sydney, Postcode-1108",-33.794883,151.268071
189,NSW,Sydney,"New South Wales, Sydney, Postcode-1109",-33.794883,151.268071
190,NSW,Sydney,"New South Wales, Sydney, Postcode-1110",-33.794883,151.268071
191,NSW,Sydney,"New South Wales, Sydney, Postcode-1112",-33.794883,151.268071
192,NSW,Sydney,"New South Wales, Sydney, Postcode-1113",-33.794883,151.268071
193,NSW,Sydney,"New South Wales, Sydney, Postcode-1114",-33.794883,151.268071
194,NSW,Sydney,"New South Wales, Sydney, Postcode-1115",-33.794883,151.268071
195,NSW,Sydney,"New South Wales, Sydney, Postcode-1116",-33.666729,150.866145
196,NSW,Sydney,"New South Wales, Sydney, Postcode-1117",-33.664575,150.87022
197,NSW,Sydney,"New South Wales, Sydney, Postcode-1118",-33.794883,151.268071
198,NSW,Sydney,"New South Wales, Sydney, Postcode-1119",-33.794883,151.268071
199,NSW,Sydney,"New South Wales, Sydney, Postcode-1120",-33.794883,151.268071
200,NSW,Sydney,"New South Wales, Sydney, Postcode-1121",-33.794883,151.268071
201,NSW,Sydney,"New South Wales, Sydney, Postcode-1122",-33.794883,151.268071
202,NSW,Sydney,"New South Wales, Sydney, Postcode-1123",-33.794883,151.268071
203,NSW,Sydney,"New South Wales, Sydney, Postcode-1124",-33.794883,151.268071
204,NSW,Sydney,"New South Wales, Sydney, Postcode-1125",-33.794883,151.268071
205,NSW,Sydney,"New South Wales, Sydney, Postcode-1126",-33.794883,151.268071
206,NSW,Sydney,"New South Wales, Sydney, Postcode-1127",-33.794883,151.268071
207,NSW,Sydney,"New South Wales, Sydney, Postcode-1128",-33.794883,151.268071
208,NSW,Sydney,"New South Wales, Sydney, Postcode-1129",-33.794883,151.268071
209,NSW,Sydney,"New South Wales, Sydney, Postcode-1130",-33.794883,151.268071
210,NSW,Sydney,"New South Wales, Sydney, Postcode-1131",-33.794883,151.268071
211,NSW,Sydney,"New South Wales, Sydney, Postcode-1132",-33.66279,150.874265
212,NSW,Sydney,"New South Wales, Sydney, Postcode-1133",-33.794883,151.268071
213,NSW,Sydney,"New South Wales, Sydney, Postcode-1134",-33.794883,151.268071
214,NSW,Sydney,"New South Wales, Sydney, Postcode-1135",-33.794883,151.268071
215,NSW,Sydney,"New South Wales, Sydney, Postcode-1136",-33.794883,151.268071
216,NSW,Sydney,"New South Wales, Sydney, Postcode-1137",-33.794883,151.268071
217,NSW,Sydney,"New South Wales, Sydney, Postcode-1138",-33.794883,151.268071
218,NSW,Sydney,"New South Wales, Sydney, Postcode-1139",-33.794883,151.268071
219,NSW,Sydney,"New South Wales, Sydney, Postcode-1140",-33.794883,151.268071
220,NSW,Sydney,"New South Wales, Sydney, Postcode-1141",-33.794883,151.268071
221,NSW,Sydney,"New South Wales, Sydney, Postcode-1142",-33.794883,151.268071
222,NSW,Sydney,"New South Wales, Sydney, Postcode-1143",-33.794883,151.268071
223,NSW,Sydney,"New South Wales, Sydney, Postcode-1144",-33.794883,151.268071
224,NSW,Sydney,"New South Wales, Sydney, Postcode-1145",-33.794883,151.268071
225,NSW,Sydney,"New South Wales, Sydney, Postcode-1146",-33.794883,151.268071
226,NSW,Sydney,"New South Wales, Sydney, Postcode-1147",-33.794883,151.268071
227,NSW,Sydney,"New South Wales, Sydney, Postcode-1148",-33.794883,151.268071
228,NSW,Sydney,"New South Wales, Sydney, Postcode-1149",-33.794883,151.268071
229,NSW,Sydney,"New South Wales, Sydney, Postcode-1150",-33.794883,151.268071
230,NSW,Sydney,"New South Wales, Sydney, Postcode-1151",-33.794883,151.268071
231,NSW,Sydney,"New South Wales, Sydney, Postcode-1152",-33.794883,151.268071
232,NSW,Sydney,"New South Wales, Sydney, Postcode-1153",-33.794883,151.268071
233,NSW,Sydney,"New South Wales, Sydney, Postcode-1154",-33.794883,151.268071
234,NSW,Sydney,"New South Wales, Sydney, Postcode-1155",-33.794883,151.268071
235,NSW,Sydney,"New South Wales, Sydney, Postcode-1156",-33.794883,151.268071
236,NSW,Sydney,"New South Wales, Sydney, Postcode-1157",-33.794883,151.268071
237,NSW,Sydney,"New South Wales, Sydney, Postcode-1158",-33.794883,151.268071
238,NSW,Sydney,"New South Wales, Sydney, Postcode-1159",-33.794883,151.268071
239,NSW,Sydney,"New South Wales, Sydney, Postcode-1160",-33.794883,151.268071
240,NSW,Sydney,"New South Wales, Sydney, Postcode-1161",-33.794883,151.268071
241,NSW,Sydney,"New South Wales, Sydney, Postcode-1162",-33.794883,151.268071
