School_Id,Suburb,State Code,Address,School_Information,Latitude,Longitude,ICSEA_Value,Student_number,,Postcode
8278,Wadalba ,NSW,"Wadalba Community School, Orchid Way, Postcode-2259","CentralCommunity School (Coed, Kinder to Year 12)",-33.264769,151.467432,965,1429,,2259
8279,Lake Munmorah,NSW,"Lake Munmorah High School, Carters Rd, Postcode-2259","Secondary School (Coed, Year 7 to Year 12)",-33.189743,151.573699,947,699,,2259
8280,Laurieton ,NSW,"Camden Haven High School, Valley View Rd, Postcode-2443","Secondary School (Coed, Year 7 to Year 12)",-31.639394,152.73608,958,1004,,2443
8281,Tuncurry,NSW,"Great Lakes College Senior Campus, The Northern Parkway, Postcode-2428","Secondary School (Coed, Year 11 to Year 12)",-32.170528,152.50117,,442,,2428
8282,Banora Point ,NSW,"Banora Point High School, Eucalyptus Drive, Postcode-2486","Secondary School (Coed, Year 7 to Year 12)",-28.215457,153.525324,957,555,,2486
8284,Oatley ,NSW,"Georges River College Oatley Senior Campus, Oatley Ave & Hurstville Rd, Postcode-2223","Secondary School (Coed, Year 11 to Year 12)",-33.977001,151.081391,,880,,2223
8286,Mount Annan ,NSW,"Mount Annan High School, 248 Welling Drive, Postcode-2567","Secondary School (Coed, Year 7 to Year 12)",-34.057371,150.760739,982,680,,2567
8288,Surry Hills,NSW,"Cleveland Street Intensive English High School, Cnr Chalmers CLEVELAND Sts, Postcode-2010","Secondary School (Coed, Intensive English Centre)",-33.889068,151.20578,1035,223,,2010
8289,Tuncurry,NSW,"Great Lakes College Tuncurry Campus, Northern Parkway, Postcode-2428","Secondary School (Coed, Year 7 to Year 10)",-32.170596,152.501308,953,541,,2428
8290,Horningsea Park,NSW,"John Edmondson High School, 64 Horningsea Park Drive, Postcode-2171","Secondary School (Coed, Year 7 to Year 12)",-33.946,150.843226,982,1177,,2171
8291,Rouse Hill,NSW,"Rouse Hill High School, 105 Withers Road, Postcode-2155","Secondary School (Coed, Year 7 to Year 12)",-33.688142,150.934312,1037,763,,2155
8292,Kariong,NSW,"Kariong Mountains High School, Festival Drive, Postcode-2250","Secondary School (Coed, Year 7 to Year 12)",-33.43039,151.296076,983,583,,2250
8308,Corowa ,NSW,"Corowa High School, Redlands Rd, Postcode-2646","Secondary School (Coed, Year 7 to Year 12)",-35.993008,146.381577,972,349,,2646
8314,Grenfell ,NSW,"The Henry Lawson High School, 49 South Street, Postcode-2810","Secondary School (Coed, Year 7 to Year 12)",-33.902722,148.163449,967,176,,2810
8318,Kandos ,NSW,"Kandos High School, Fleming St, Postcode-2848","Secondary School (Coed, Year 7 to Year 12)",-32.855738,149.974588,928,237,,2848
8320,Kogarah ,NSW,"Kogarah High School, Gladstone St, Postcode-2217","Secondary School (Coed, Year 7 to Year 12)",-33.961161,151.134227,981,1018,,2217
8325,Moree ,NSW,"Moree Secondary College Albert St Campus, Albert St, Postcode-2400","Secondary School (Coed, Year 10 to Year 12)",-29.46645,149.842344,,250,,2400
