Property_Id,State Code,Suburb,Address,Property_Median_Value,Updated_on,Postcode
78,NSW,Forest Lodge,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2037","14,33,750.00",1/06/2017,2037
79,NSW,Glebe,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2037","14,33,750.00",1/06/2017,2037
80,NSW,Annandale,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2038","13,50,000.00",1/06/2017,2038
81,NSW,Rozelle,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2039","15,93,000.00",1/06/2017,2039
82,NSW,Leichhardt,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2040","14,80,000.00",1/06/2017,2040
83,NSW,Lilyfield,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2040","14,80,000.00",1/06/2017,2040
84,NSW,Balmain,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2041","17,50,000.00",1/06/2017,2041
85,NSW,Balmain East,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2041","17,50,000.00",1/06/2017,2041
86,NSW,Birchgrove,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2041","17,50,000.00",1/06/2017,2041
87,NSW,Enmore,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2042","11,92,500.00",1/06/2017,2042
88,NSW,Newtown,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2042","11,92,500.00",1/06/2017,2042
89,NSW,Erskineville,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2043","10,80,000.00",1/06/2017,2043
90,NSW,St Peters,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2044","13,01,500.00",1/06/2017,2044
91,NSW,Sydenham,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2044","13,01,500.00",1/06/2017,2044
92,NSW,Tempe,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2044","13,01,500.00",1/06/2017,2044
93,NSW,Haberfield,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2045","19,10,000.00",1/06/2017,2045
94,NSW,Abbotsford,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2046","13,65,000.00",1/06/2017,2046
